Site ID,X,Y,2012,2013,2014,2015,2016
1,463872,99874,42.54,41.9,42.57,44.33,43.52
2,463705,99371,17.48,16.5,16.55,15.74,17.4
3,463408,99460,26.63,22.1,25.67,24.07,25.75
4,463190,100390,36.35,31.51,27.97,30.54,34.7
5,464230,102194,28.62,27.49,28.93,27.53,29.52
6,464331,102197,35.62,38.29,34.85,46.06,36.08
7,464291,102279,29.78,30,26.53,26.05,28.09
8,466690,104355,28.81,27.22,28.37,28.43,29.94
9,465621,105528,35.07,31.95,33.88,34.98,40.86
10,467107,104850,17.91,17.66,16.66,16.48,19.54
11,466869,103457,31.76,29.54,33.29,28.27,28.1
12,466074,103747,,,,,
14,466109,103736,22.68,21.61,27.21,26.87,22.2
15,466120,101324,28.82,28.15,27.57,26.21,28.97
16,465474,104205,36.44,33.98,32.32,32.01,36.45
18,466097,101332,29.52,27.8,28.9,26.91,29.3
19,466392,100226,34.52,30.1,37.24,35.08,39.61
20,466712,99415,26.07,27.42,28.9,27.58,29.12
21,465209,98964,35.79,32.88,35.18,35.28,40.05
22,464778,99306,31.61,28.69,30.8,28.06,31.23
23,464974,99766,41.05,30.4,28.8,31,37
24,465111,100737,39.12,42.48,40.49,36.32,37.74
25,465036,101547,44.58,38.69,52.18,41.79,43.65
26,464900,101976,50.48,50.93,40.81,43.12,49.16
28,464825,101933,,,,,
29,464551,101787,,,,,
30,464478,101457,37.97,38.83,44.12,34.31,39.34
32,464559,100980,35.99,31.09,34.93,31.68,33.51
34,464425,100893,38.8,34.65,35.52,34.65,36.06
35,463837,99759,31.1,28.96,41.42,28.48,30.68
36,464501,99329,32.84,30.33,34.81,29,33.32
37,464925,102129,,,,,
38,465403,103952,,,,,
39,466004,102348,,,,,
40,464397,101270,,,,,
C2,464925,102129,43.9,39.68,45.68,38.4,41.21
C4,465403,103952,21.1,20.27,22.17,18.78,20.05
C6,466004,102348,36.1,33.52,35.93,32.81,34.34
C7,464397,101270,36.9,35.94,36.51,30.25,35.48
